Artist,Song Name,Difficulty,Link,Mod,Length,Star
Hanatan,Airman ga Taosenai (SOUND HOLIC Ver.),CRN's Extra,https://osu.ppy.sh/s/134151,No Mod,3:45,5.92
Reol,No title,Insane,https://osu.ppy.sh/b/594307,No Mod,3:54,5.83
cillia,FairytaleASDFASDFASDF,Jimsane,https://osu.ppy.sh/b/719231,No Mod,4:04,5.92
Nanahoshi Kangenkakudan,IMAGINARY LIKE THE JUSTICE,captin's Legend,https://osu.ppy.sh/b/495633&m=0,No Mod,4:04,6.11
Hitori Tori,perthed again (yambabom remix),Extra,https://osu.ppy.sh/b/611751,No Mod,2:51,6
Hatsune Miku,Recommended Spell,Spell,https://osu.ppy.sh/b/96055,Hidden,3:00,5.46
xi,Wish upon Twin Stars,Wish,https://osu.ppy.sh/s/242462,Hidden,1:56,5.81
FearASDFASDFASDF and Loathing in Las Vegas,Rave-up Tonight,Extra,https://osu.ppy.sh/b/425761&m=0,Hidden,3:20,5.86
Wotamin,Gigantic O.T.N,S.S,https://osu.ppy.sh/b/223397,Hidden,2:55,5.77
Konuko,Toumei Elegy,wkyikawa's Couple Extra,https://osu.ppy.sh/b/555965,Hidden,3:19,5.81
Doxx & Feint ,The Pink Fields,Divine,https://osu.ppy.sh/b/729986&m=0,Hard Rock,1:39,5.76 (5.3)
Fall Out Boy,Alone Together (Krewella Remix),Alone,https://osu.ppy.sh/b/655380,Hard Rock,3:10,5.92 (5.54)
Warak,REANIMATE,Mythol's Extra,https://osu.ppy.sh/b/468994,Hard Rock,2:30,5.67 (5.31)
Razihel & Virtual Riot,One For AllASDFASDFASDF All For One,deetz' Expert,https://osu.ppy.sh/b/695636&m=0,Hard Rock,3:58,5.67 (5.26)
u's,Bokura no LIVE Kimi to no LIFE,Daisuki,https://osu.ppy.sh/b/379071,Hard Rock,5:17,5.55 (5.35)
ClariS,with you,Laurier's Insane,https://osu.ppy.sh/b/380012,Double Time,2:32 (3:42),6.16 (4.4)
Nightwish,Planet Hell,Insane,https://osu.ppy.sh/b/405955?m=0,Double Time,1:31 (2:15),5.97 (4.2)
Miyazono Kaori(CV.Taneda Risa),My Truth~Rondo Capriccioso,April,https://osu.ppy.sh/b/634245?m=0,Double Time,3:19 (4:56),5.51 (4.02)
SYNC.ART'S,Sins -Kokoro no Tsumi-,Nightmare,https://osu.ppy.sh/b/158107,Double Time,2:43 (3:58),5.84 (4.16)
yanaginagi,Owari no Sekai kara,Snowy,https://osu.ppy.sh/b/140361,Double Time,3:05 (4:34),5.64 (4.04)
Natsume Chiaki,Hanairo Biyori,Awaken's Challenge,https://osu.ppy.sh/b/509510,Tiebreaker,3:11,6.48