Artist,Title,Difficulty,Link,Mod,Length,Stars
Jin,Lost Time Memory,Memory,https://osu.ppy.sh/s/157617,No Mod,4:29,5.62
Orangestar,Asu no Yozora Shoukaihan,iyasine_sk's Extra,https://osu.ppy.sh/s/219728,No Mod,2:52,5.67
Kyary Pamyu Pamyu,Furisodation (DJ HKT's bootleg MIX),Drunk On Love,https://osu.ppy.sh/s/290184,No Mod,5:24,5.66
Kradness & Reol,Remote Control,seXXXtra AR 9.6,https://osu.ppy.sh/b/474981,No Mod,5:00,5.62
Studio EIM,Crescent Moon Island Boss Theme,[ -Scarlet's- ] Extra,https://osu.ppy.sh/b/434438,No Mod,2:04,5.57
ARM feat. Nanahira,Bakuna*Testroyer,Expert,https://osu.ppy.sh/b/665663,Hidden,1:55,5.42
40mP feat.yuikonnu,Ame to Asphalt,Insane,https://osu.ppy.sh/b/451528,Hidden,4:08,5.29
Porter Robinson,Flicker,fufufu,https://osu.ppy.sh/b/692596,Hidden,4:31,5.36
Primary,in the Garden,Ha-N,https://osu.ppy.sh/b/545052&m=0,Hidden,3:37,5.17
LiSA,Rally Go Round,Extra,https://osu.ppy.sh/b/740692,Hidden,4:18,5.44
Halozy,PLAZMA,Nightmare,https://osu.ppy.sh/b/703997,Hard Rock,5:37,5.32 (5.65)
nmk,sola,Flower's Lunatic,https://osu.ppy.sh/b/441721,Hard Rock,2:16,5.3 (5.63)
KOAN Sound & asa,Starlite,Incandescent,https://osu.ppy.sh/b/662054,Hard Rock,3:08,5.29 (5.67)
Shintani Ryoko,Wonderful World,Hello Good-Bye,https://osu.ppy.sh/b/188411,Hard Rock,4:27,5.1 (5.27)
bibuko,Crayon,Crayon,https://osu.ppy.sh/b/155164,Hard Rock,2:23,5.19 (5.51)
senya,Koyoi Index,Lunatic,https://osu.ppy.sh/b/543814,Double Time,3:41 (2:27),4.04 (5.68)
ChouCho,My dear friend,Insane,https://osu.ppy.sh/b/486131&m=0,Double Time,3:45 (2:30),4.06 (5.59)
Chata,Miren,Insane,https://osu.ppy.sh/b/153771?m=0,Double Time,3:56 (2:37),3.82 (5.26)
Sana,Byoumei Koiwazurai,Insane,https://osu.ppy.sh/b/609741?m=0,Double Time,4:01 (2:40),4.19 (5.83)
Kagamine Rin & Len,Streamline Prism,Jumping,https://osu.ppy.sh/b/96142?m=0,Double Time,3:10 (2:06),4.05 (5.55)
Panda Eyes & Terminite,Highscore,Extra,https://osu.ppy.sh/b/736214&m=0,Tiebreaker,4,6.01